cuenca,peligrosidad,fam_expuestas_edificios,fam_expuestas_ghsl,fam_expuestas_areal
area de bañados,alta,239.44578605468047,180.1311964944927,188.56454747897442
area de bañados,baja,1270.0248982164296,1115.573509166152,976.7703994578424
area de bañados,media,318.0664713177922,349.5487584783307,333.32662651621195
cuenca arroyo el pescado,baja,67.36082474226805,62.41935979148634,70.89984060172822
cuenca arroyo el pescado,media,22.45360824742268,0.0,16.596955075403145
cuenca arroyo martín-carnaval,alta,324.71414124701937,173.94786723907794,277.5121115418556
cuenca arroyo martín-carnaval,baja,454.89109125808693,320.56696760274724,349.389819994527
cuenca arroyo martín-carnaval,media,629.0233071562045,653.445149463121,555.6224234506602
cuenca arroyo pereyra,alta,0.8235294117647058,0.6622389056462423,1.6989831354507818
cuenca arroyo pereyra,baja,29.472274574165333,87.22179325213614,15.717516376325376
cuenca arroyo pereyra,media,24.561368778280546,24.48159093821465,17.08297307764237
cuenca arroyo rodriguez-don carlos,alta,205.9866186715977,172.61731119943366,217.34025435067127
cuenca arroyo rodriguez-don carlos,baja,377.34676963928587,305.39836600738187,278.09822229916807
cuenca arroyo rodriguez-don carlos,media,358.7801306287309,234.07204898318577,261.47780981067547
cuenca arroyo del gato,alta,1971.925776777869,1595.4601515130437,1926.6537769018742
cuenca arroyo del gato,baja,3876.91485510856,2925.533726357486,3016.9238583240435
cuenca arroyo del gato,media,3865.1882311767195,3568.799256012271,3377.251137513414
cuenca a° maldonado,alta,754.8010429931041,563.6336578330214,694.5022401951937
cuenca a° maldonado,baja,2754.7176699887355,2075.738662933282,2132.2657317689172
cuenca a° maldonado,media,1781.637522976863,1426.8648247222477,1453.435933805513
cuenca río samborombón,alta,1.5149700598802396,0.15336493956442537,4.489577182111647
cuenca río samborombón,baja,337.4653741335156,191.66547998906603,226.5525389370569
cuenca río samborombón,media,245.47344163053742,156.61267736420226,215.6701824552681
